train_data,train_labels
Quels plats avez-vous pour le petit-déjeuner ?,"Nous proposons une variété de plats pour le petit-déjeuner, notamment des œufs, des croissants, des pancakes et des fruits frais."
Quelle est votre spécialité de la maison ?,"Notre plat phare est notre risotto aux fruits de mer, préparé avec des ingrédients frais et une touche spéciale de notre chef."
Est-ce que vous proposez des plats végétariens ?,"Oui, nous avons plusieurs options végétariennes délicieuses, y compris des salades fraîches, des pâtes aux légumes et des plats à base de tofu."
Où êtes-vous situés ?,"Notre restaurant est situé à Rabat, Agdal N123"
Avez-vous des promotions en ce moment ?,"Actuellement, nous offrons une réduction de 20% sur tous les plats de pâtes à emporter."
Quels sont vos horaires d'ouverture ?,"Nous sommes ouverts du lundi au samedi, de 11h à 22h, et le dimanche de 12h à 20h."
Est-ce que vous livrez à domicile ?,"Oui, nous proposons un service de livraison dans un rayon de 5 km autour du restaurant."
Quels types de desserts avez-vous ?,"Nous avons une sélection de desserts alléchants, tels que des gâteaux au chocolat, des tartes aux fruits et des crèmes brûlées."
Y a-t-il des options sans gluten sur votre menu ?,"Oui, nous avons plusieurs plats sans gluten, y compris des options de pâtes sans gluten et des plats spéciaux sur demande."
Acceptez-vous les réservations ?,"Oui, nous acceptons les réservations. Vous pouvez réserver une table en ligne ou nous appeler directement."
Quels types de boissons proposez-vous ?,"Nous avons une large sélection de boissons, y compris des vins, des cocktails, des bières, des sodas et des boissons sans alcool."
Avez-vous un menu enfant ?,"Oui, nous avons un menu spécial pour les enfants, avec des plats adaptés à leurs goûts et portions."
Proposez-vous des plats du jour ?,"Oui, nous avons des plats du jour qui varient quotidiennement en fonction des ingrédients frais disponibles."
Est-ce que vous avez des options de plats épicés ?,"Oui, nous avons plusieurs plats avec différentes intensités d'épices pour satisfaire tous les palais."
Quelle est votre politique d'annulation de réservation ?,Nous apprécions d'être informés le plus tôt possible en cas d'annulation. Merci de nous contacter au moins 2 heures avant l'heure prévue de votre réservation.
Pouvez-vous personnaliser les plats selon les allergies alimentaires ?,"Oui, nous pouvons personnaliser les plats en tenant compte des allergies alimentaires. Veuillez informer notre équipe lors de votre commande."
Est-ce que vous avez des options de plats à emporter ?,"Oui, vous pouvez commander tous nos plats à emporter. Consultez notre menu en ligne pour passer votre commande."
Quelle est la politique de pourboire dans votre établissement ?,"Le pourboire n'est pas inclus dans la facture, il est laissé à la discrétion du client et apprécié par notre équipe."
"Proposez-vous des plats pour les régimes spéciaux, comme le régime keto ?","Oui, nous avons des options adaptées au régime keto, comme des plats riches en protéines et en matières grasses saines."
Est-ce que vous organisez des événements spéciaux ou des soirées à thème ?,"Oui, nous organisons régulièrement des événements spéciaux et des soirées à thème. Consultez notre page Facebook pour les dernières mises à jour."
Est-ce que vous proposez des plats adaptés aux enfants ?,"Oui, nous avons un menu enfant avec une sélection de plats qui plaisent aux plus jeunes, comme des hamburgers, des nuggets de poulet et des pâtes au fromage."
Quels sont vos plats les plus populaires ?,Nos plats les plus populaires incluent notre steak grillé accompagné de pommes de terre rôties et notre salade César aux crevettes.
 Est-ce que vous avez des options de plats sans lactose ?,"Oui, nous proposons des plats sans lactose sur demande, comme des alternatives au lait dans les sauces ou les desserts."
Faites-vous des desserts maison ?,"Oui, nos desserts sont faits maison avec des ingrédients frais pour une saveur authentique."
Avez-vous des menus pour les événements spéciaux ou les fêtes ?,"Oui, nous avons des menus spéciaux pour les fêtes et les événements spéciaux. Contactez-nous pour plus d'informations."
Quels sont les prix moyens de vos plats principaux ?,"Nos plats principaux sont généralement compris entre X et Y euros, mais les prix peuvent varier en fonction des choix et des ingrédients."
Avez-vous des options de plats sans viande ?,"Oui, nous avons une sélection de plats végétariens et végétaliens qui ne contiennent pas de viande."
Est-ce que vous avez un menu dégustation ?,"Oui, nous proposons un menu dégustation qui offre un échantillon de plusieurs plats de notre menu."
Y a-t-il des plats recommandés pour les personnes qui suivent un régime hypocalorique ?,"Oui, nous avons des plats légers et équilibrés, riches en nutriments mais faibles en calories."
Proposez-vous des options de plats pour les personnes intolérantes au gluten ?,"Oui, nous avons une sélection de plats sans gluten pour les personnes ayant une intolérance au gluten."
Est-ce que vous organisez des brunchs le week-end ?,"Oui, nous organisons des brunchs le samedi et le dimanche avec une variété de plats pour le petit-déjeuner et le déjeuner."
Avez-vous des plats du terroir ou régionaux ?," Oui, nous proposons des plats inspirés de la cuisine locale et des spécialités régionales."
Est-ce que vous avez des options de plats allégés en sel ?,"Oui, nous pouvons ajuster la quantité de sel dans nos plats sur demande."
"Avez-vous des menus pour les grandes occasions, comme les anniversaires ?","Oui, nous avons des menus spéciaux pour les grandes occasions, avec la possibilité de personnaliser selon vos besoins."
Proposez-vous des plats de fruits de mer ?,"Oui, nous avons une sélection de plats de fruits de mer frais, comme des poissons grillés et des fruits de mer à la vapeur."
Quels sont vos plats les plus épicés ?,Notre curry thaï épicé et notre chili con carne sont parmi nos plats les plus épicés.
Est-ce que vous avez des options de plats pour les personnes diabétiques ?,"Oui, nous avons des plats adaptés aux besoins des personnes diabétiques, avec une attention particulière à la teneur en sucre."
Faites-vous des plats pour les personnes allergiques aux fruits à coque ?,"Nous prenons en compte les allergies alimentaires, y compris les allergies aux fruits à coque, et pouvons adapter nos plats en conséquence."
Quelle est votre politique de retour pour les plats commandés à emporter ?,"Si vous rencontrez un problème avec votre commande à emporter, veuillez nous contacter dans les 30 minutes suivant la réception pour discuter des solutions possibles."
Avez-vous des options de plats pour les végétaliens ?,"Oui, nous avons des plats spécialement conçus pour les végétaliens, sans aucun produit d'origine animale."
Est-ce que vous servez des cocktails sans alcool ?,"Oui, nous avons une gamme de cocktails sans alcool rafraîchissants et savoureux."
Quels sont vos plats les plus sains ?," Nos salades fraîches, nos plats de poisson grillé et nos options végétariennes sont parmi nos plats les plus sains."
Avez-vous des recommandations de vins pour accompagner les plats ?,"Oui, notre équipe peut vous recommander des vins qui se marient bien avec nos plats. N'hésitez pas à demander des conseils."
Est-ce que vous proposez des options de plats pour les personnes souffrant d'allergies au lactose ?,"Oui, nous pouvons adapter certains plats pour les personnes souffrant d'allergies au lactose."
Quelle est la politique de remboursement en cas d'insatisfaction avec un plat ?,"Si vous n'êtes pas satisfait de votre plat, veuillez nous en informer immédiatement pour discuter des solutions possibles, comme un remplacement ou un remboursement partiel."
Avez-vous des plats à base de produits locaux ?,"Oui, nous utilisons des produits locaux et de saison dans certains de nos plats pour soutenir les producteurs locaux et garantir la fraîcheur des ingrédients."
Est-ce que vous proposez des menus pour les groupes ou les événements d'entreprise ?,"Oui, nous avons des menus spéciaux pour les groupes et les événements d'entreprise. Contactez-nous pour discuter des options disponibles."
Y a-t-il des plats qui peuvent être préparés sans gluten ni lactose ?,"Oui, nous pouvons personnaliser certains plats pour qu'ils soient sans gluten et sans lactose."
Avez-vous des options de plats pour les personnes souffrant de maladies cœliaques ?,"Oui, nous avons des plats spécialement conçus pour les personnes atteintes de la maladie cœliaque, avec une préparation sans gluten."
Est-ce que vous avez des plats de saison au menu ?,"Oui, nous proposons des plats qui varient en fonction des saisons pour mettre en valeur les ingrédients les plus frais et de saison."
